Club,Name,Club_Position,Club_Joining,Contract_Expiry,Nationality,National_Position,Rating,Height,Weight,Preferred_Foot,Birth_Date,Age,Preferred_Position,Weak_foot
Akhisarspor,Orhan Taşdelen,Sub,1/22/2016,2017.0,Turkey,,63,185 cm,75 kg,Left,1/1/1987,30,LB/CB,2
Akhisarspor,Ricardo Vaz Tê,Sub,2/2/2016,2017.0,Portugal,,70,189 cm,80 kg,Right,10/1/1986,30,RM/LM,3
Akhisarspor,Sinan Eryüksel,Res,7/3/2014,2017.0,Turkey,,59,171 cm,63 kg,Right,8/18/1995,21,CDM/CM,3
Akhisarspor,Sokol Cikalleshi,ST,7/1/2015,2019.0,Albania,,71,185 cm,80 kg,Right,7/27/1990,26,ST,4
Akhisarspor,Soner Aydoğdu,CAM,2/1/2016,2018.0,Turkey,,70,180 cm,72 kg,Left,1/5/1991,26,CAM/CDM,2
Akhisarspor,Tolga Ünlü,Sub,2/2/2015,2017.0,Turkey,,63,183 cm,75 kg,Right,9/10/1989,27,RB,3
Akhisarspor,Ömer Bayram,Sub,7/1/2016,2019.0,Turkey,,68,173 cm,73 kg,Left,7/27/1991,25,LB/LM,3
Akhisarspor,Özer Hurmacı,LM,8/31/2016,2019.0,Turkey,,73,174 cm,70 kg,Right,11/20/1986,30,CAM/LM,4
Al Ahli,Abdul Fatah Aseri,Sub,8/18/2016,2020.0,Saudi Arabia,,71,166 cm,64 kg,Left,2/26/1994,23,RM/CAM,4
Al Ahli,Ahmad Al Harbi,Res,8/1/2014,2023.0,Saudi Arabia,,54,189 cm,88 kg,Right,10/6/1994,22,GK,3
Al Ahli,Ali Awaji,Res,6/8/2016,2021.0,Saudi Arabia,,66,165 cm,62 kg,Left,8/2/1989,27,LM/ST,4
Al Ahli,Amir Fahad Kurdy,Sub,8/21/2014,2020.0,Saudi Arabia,,66,178 cm,78 kg,Right,9/11/1991,25,RB/LB,3
Al Ahli,Aqeel Al Sahabi,RB,1/1/2012,2019.0,Saudi Arabia,,65,181 cm,68 kg,Right,3/15/1987,30,RB/CB,3
Al Ahli,Basim Al Baqi,Sub,11/1/2011,2018.0,Saudi Arabia,,60,188 cm,84 kg,Right,11/7/1989,27,GK,2
Al Ahli,Eslam Sarraj,Res,6/30/2015,2018.0,Saudi Arabia,,65,178 cm,69 kg,Right,7/3/1989,27,RM/ST,3
Al Ahli,Fahad Hamad Al Yamani,Sub,6/2/2015,2019.0,Saudi Arabia,,64,179 cm,73 kg,Right,11/23/1989,27,CDM/LM/CAM,4
Al Ahli,Hussain Al Moqahwi,Sub,6/18/2014,2019.0,Saudi Arabia,,71,173 cm,64 kg,Right,3/24/1988,29,CAM/CDM/LM,4
Al Ahli,Ioannis Fetfatzidis,CAM,7/30/2015,2018.0,Greece,,77,165 cm,61 kg,Left,12/21/1990,26,CAM/CF,4
Al Ahli,Maher Othman,Res,1/13/2016,2019.0,Saudi Arabia,,60,180 cm,73 kg,Right,8/1/1991,25,CDM/CM,4
Al Ahli,Majed Aseri,Sub,6/1/2014,2017.0,Saudi Arabia,,54,172 cm,75 kg,Left,4/27/1991,25,LB,4
Al Ahli,Mansour Al Harbi,Sub,1/22/2016,2017.0,Saudi Arabia,,66,170 cm,65 kg,Left,10/19/1987,29,LB,3
Al Ahli,Mohamed Abdul Shafy,LB,7/5/2015,2018.0,Egypt,Sub,72,170 cm,71 kg,Left,7/1/1985,31,LB,3
Al Ahli,Mohammed Al Fatil,RCB,8/22/2009,2018.0,Saudi Arabia,,63,179 cm,70 kg,Right,1/4/1992,25,CB,2
Al Ahli,Mohammed Al Harbi,Sub,7/1/2010,2022.0,Saudi Arabia,,64,184 cm,79 kg,Left,9/8/1988,28,CB/LB,3
Al Ahli,Motaz Hawsawi,LCB,7/1/2014,2018.0,Saudi Arabia,,73,179 cm,77 kg,Right,2/17/1992,25,CB,3
Al Ahli,Muhannad Abu Radiyah,Sub,8/5/2014,2020.0,Saudi Arabia,,66,178 cm,69 kg,Right,10/14/1986,30,ST,3
Al Ahli,Mustafa Al Bassas,RM,1/22/2016,2018.0,Saudi Arabia,,70,169 cm,73 kg,Right,6/2/1993,23,RM/LM/RB,4
Al Ahli,Omar Al Soma,ST,7/1/2014,2020.0,Syria,,79,192 cm,72 kg,Right,3/28/1989,28,ST,4
Al Ahli,Saad Abdulameer Luaibi,RDM,1/15/2017,2018.0,Iraq,,67,180 cm,74 kg,Right,1/19/1992,25,CDM,3
Al Ahli,Saeed Al Mowalad,Res,1/11/2017,2021.0,Saudi Arabia,,66,180 cm,65 kg,Right,3/9/1991,26,RB/RM,3
Al Ahli,Saeed Al Yami,Sub,7/25/2016,2021.0,Saudi Arabia,,63,183 cm,75 kg,Right,6/4/1994,22,CB,2
Al Ahli,Saleh Al Zubaidi,Sub,9/19/2015,2020.0,Saudi Arabia,,63,175 cm,74 kg,Right,1/4/1993,24,RB,3
Al Ahli,Salman Muwashar,LM,5/12/2014,2020.0,Saudi Arabia,,71,165 cm,62 kg,Right,10/5/1988,28,LM/RM,3
Al Ahli,Taiseer Al Jassam,LDM,6/30/2001,2017.0,Saudi Arabia,,74,168 cm,67 kg,Right,7/25/1984,32,CDM/CM,3
Al Ahli,Waleed Bakhashwain,Sub,7/1/2008,2020.0,Saudi Arabia,,70,174 cm,69 kg,Right,11/12/1989,27,CDM/CB,2
Al Ahli,Yasser Al Mosailem,GK,6/1/2005,2020.0,Saudi Arabia,,71,184 cm,82 kg,Right,2/27/1984,33,GK,2
Al Batin,Abdullah Al Joui,Res,1/8/2017,2017.0,Saudi Arabia,,57,167 cm,66 kg,Right,3/2/1995,22,RM/LM,3
Al Batin,Abdullah Al Shammari,LCM,7/1/2014,2020.0,Saudi Arabia,,51,168 cm,57 kg,Left,2/18/1996,21,CM,3
Al Batin,Abdulmajeed Al Mutairi,Sub,7/1/2015,2020.0,Saudi Arabia,,55,168 cm,49 kg,Left,11/4/1995,21,LM,3
Al Batin,Ahmed Al Shamrani,Sub,7/1/2014,2020.0,Saudi Arabia,,51,163 cm,65 kg,Right,4/24/1994,22,CB,3
Al Batin,Bader Bandar Al Shammari,Sub,7/1/2014,2020.0,Saudi Arabia,,53,175 cm,72 kg,Right,1/6/1994,23,ST/LM,3
Al Batin,Bandar Al Mutairi,LWB,7/1/2011,2020.0,Saudi Arabia,,60,168 cm,50 kg,Left,3/14/1990,27,LB/LM,3
Al Batin,Dhari Al Suwait,Sub,7/1/2013,2020.0,Saudi Arabia,,53,170 cm,65 kg,Right,11/27/1992,24,CM,3
Al Batin,Edison Tarabai,Sub,1/6/2017,2018.0,Brazil,,65,169 cm,73 kg,Right,12/9/1985,31,ST/RW,3
Al Batin,Jadaan Al Shammari,Sub,7/1/2011,2017.0,Saudi Arabia,,58,182 cm,74 kg,Right,2/6/1992,25,CM,3
Al Batin,Jamal Mohammad Al Dhafeeri,Sub,7/1/2012,2020.0,Saudi Arabia,,57,185 cm,70 kg,Right,9/8/1992,24,CB/CDM,3
Al Batin,Jhonnattann,Res,1/17/2017,2020.0,Brazil,,63,165 cm,65 kg,Right,7/27/1989,27,RW/CAM,2
Al Batin,Jou Silva,LS,8/9/2016,2020.0,Brazil,,65,180 cm,66 kg,Right,4/23/1987,29,ST/LW/LM,3
Al Batin,Khaled Al Zealaiy,CM,1/17/2017,2017.0,Saudi Arabia,,64,176 cm,63 kg,Right,3/16/1987,30,RM/LM,2
Al Batin,Khaled Dakhil Al Anazi,RS,7/1/2011,2020.0,Saudi Arabia,,62,163 cm,50 kg,Left,10/10/1984,32,CAM/RW,3
Al Batin,Maan Al Khudari,Res,1/17/2017,2017.0,Saudi Arabia,,59,175 cm,63 kg,Right,12/13/1991,25,CDM/CM,3
Al Batin,Majed Mansour Al Mutairi,Res,6/29/2016,2023.0,Saudi Arabia,,52,171 cm,58 kg,Right,3/24/1991,26,RB,3
Al Batin,Mansour Yahya Al Najei,Sub,8/9/2016,2021.0,Saudi Arabia,,60,176 cm,73 kg,Right,8/1/1978,38,GK,3
Al Batin,Mazyad Fraih Al Anazi,GK,7/1/2012,2020.0,Saudi Arabia,,62,177 cm,82 kg,Right,7/6/1989,27,GK,2
Al Batin,Meshal Khalaf Al Shammari,LCB,8/17/2015,2020.0,Saudi Arabia,,56,177 cm,64 kg,Right,9/27/1994,22,CB/RB,3
Al Batin,Mohammed Al Harthi,Sub,7/1/2013,2018.0,Saudi Arabia,,58,178 cm,72 kg,Right,8/12/1994,22,ST,2
Al Batin,Muhanna Al Enazi,RWB,7/1/2012,2020.0,Saudi Arabia,,61,162 cm,58 kg,Right,11/18/1983,33,RWB/RM,4
Al Batin,Muteb Al Mutairi,Res,7/1/2015,2020.0,Saudi Arabia,,52,175 cm,73 kg,Right,4/14/1992,24,CB,3
Al Batin,Naif Mansour Al Mutairi,Res,8/25/2016,2020.0,Saudi Arabia,,55,168 cm,65 kg,Left,12/12/1987,29,LM,3
Al Batin,Nasser Al Anazi,Sub,7/10/2012,2020.0,Saudi Arabia,,53,172 cm,73 kg,Right,12/15/1988,28,GK,3
Al Batin,Nayef Essa Al Dhafeeri,Sub,7/1/2011,2020.0,Saudi Arabia,,60,181 cm,69 kg,Right,1/25/1982,35,CDM,3
Al Batin,Ryad Al Ebrahim,Res,8/18/2016,2023.0,Saudi Arabia,,63,172 cm,63 kg,Right,12/15/1993,23,LM/CAM,3
Al Batin,Saho Mutlaq Al Mutairi,Sub,7/1/2011,2020.0,Saudi Arabia,,59,188 cm,62 kg,Right,6/17/1988,28,ST,3
Al Batin,Sultan Al Mutairi,CB,7/1/2011,2020.0,Saudi Arabia,,61,181 cm,72 kg,Right,9/13/1989,27,CB/CDM,3
Al Batin,Waleed Hezam Al Anazi,RCM,8/7/2016,2020.0,Saudi Arabia,,62,168 cm,58 kg,Right,12/19/1994,22,CM,3
Al Batin,William Alves,RCB,9/25/2016,2017.0,Brazil,,70,188 cm,84 kg,Right,4/29/1987,29,CB/RB,3
Al Faisaly,Abdullah Saud Al Mutairi,LAM,7/13/2016,2018.0,Saudi Arabia,,63,177 cm,72 kg,Right,7/1/1986,30,CAM/LM,3
Al Faisaly,Abdullah Yahya Awaji,Sub,7/1/2015,2023.0,Saudi Arabia,,54,167 cm,63 kg,Right,3/20/1994,23,CM,3
Al Faisaly,Adriano Pardal,Sub,1/11/2016,2020.0,Brazil,,67,172 cm,65 kg,Right,6/13/1987,29,LM/ST/CAM,4
Al Faisaly,Ahmad Mohammed Abbas,CAM,7/5/2016,2022.0,Saudi Arabia,,61,178 cm,70 kg,Right,8/26/1984,32,CDM,3
Al Faisaly,Ahmed Al Najai,Res,9/1/2016,2020.0,Saudi Arabia,,54,170 cm,65 kg,Right,1/18/1995,22,CB,3
Al Faisaly,Everaldo,Sub,6/29/2016,2017.0,Brazil,,68,181 cm,80 kg,Right,7/5/1991,25,ST,3
Al Faisaly,Fahad Al Reshedi,Sub,6/20/2015,2022.0,Saudi Arabia,,61,174 cm,71 kg,Right,6/8/1991,25,CM/RM,3
Al Faisaly,Fahad Ibrahim Bin Munyif,RCB,7/1/2014,2023.0,Saudi Arabia,,60,180 cm,68 kg,Right,5/10/1994,22,CB,3
Al Faisaly,Fahad Khaled Al Sagri,Sub,12/10/2014,2023.0,Saudi Arabia,,59,172 cm,70 kg,Left,10/9/1989,27,CAM/CM/LM,2
Al Faisaly,Fahad Mohammed Al Munaif,Sub,7/5/2015,2020.0,Saudi Arabia,,56,178 cm,78 kg,Right,11/25/1989,27,ST/RM,3
Al Faisaly,Hadi Yahya,Sub,6/26/2015,2022.0,Saudi Arabia,,60,180 cm,74 kg,Right,4/3/1990,26,CB,3
Al Faisaly,Ibrahim Zaid,Sub,10/11/2014,2022.0,Saudi Arabia,,60,190 cm,87 kg,Right,1/22/1990,27,GK,3
Al Faisaly,Igor Rossi,LB,1/14/2017,2022.0,Brazil,,66,189 cm,78 kg,Left,3/10/1989,28,CB/LB,2
Al Faisaly,Khaled Sufyani,Res,10/1/2016,2020.0,Saudi Arabia,,51,180 cm,66 kg,Right,7/4/1990,26,CB,3
Al Faisaly,Luisinho,RAM,1/1/2016,2017.0,Brazil,,63,175 cm,66 kg,Right,3/10/1991,26,RM/ST,2
Al Faisaly,Mansour Ibrahim Hamzi,Sub,7/25/2013,2018.0,Saudi Arabia,,60,168 cm,60 kg,Right,1/17/1992,25,RM/CAM,2
Al Faisaly,Martin Maloca,LDM,1/19/2017,2019.0,Croatia,,58,176 cm,70 kg,Right,3/21/1990,27,CDM,2
Al Faisaly,Mircea Axente,ST,1/29/2017,2020.0,Romania,,66,186 cm,78 kg,Right,3/14/1987,30,ST,2
Al Faisaly,Mohammed Al Qasem,Sub,7/1/2014,2023.0,Saudi Arabia,,53,184 cm,67 kg,Right,5/19/1994,22,GK,2
Al Faisaly,Mohammed Majrashi,Sub,9/22/2016,2022.0,Saudi Arabia,,56,180 cm,72 kg,Right,5/20/1991,25,LM/ST,3
Al Faisaly,Mohammed Salem,LCB,6/1/2012,2022.0,Saudi Arabia,,60,178 cm,82 kg,Right,8/6/1985,31,RB/CB,3
Al Faisaly,Musab Al Otaibi,Res,7/1/2011,2022.0,Saudi Arabia,,61,168 cm,62 kg,Left,5/3/1992,24,CAM/RM,3
Al Faisaly,Mustafa Malaeka,GK,5/31/2016,2019.0,Saudi Arabia,,61,180 cm,73 kg,Left,5/21/1986,30,GK,2
Al Faisaly,Nader Salem Al Muwallad,Sub,1/12/2013,2023.0,Saudi Arabia,,59,174 cm,74 kg,Right,7/23/1992,24,CDM/CM,3
Al Faisaly,Omar Abdulaziz,RDM,6/1/2010,2022.0,Saudi Arabia,,65,169 cm,75 kg,Right,12/17/1983,33,CDM/CM,3
Al Faisaly,Soliman Sofyani,Res,8/22/2015,2022.0,Saudi Arabia,,56,179 cm,85 kg,Right,2/2/1991,26,GK,3
Al Faisaly,Sultan Abdullah Al Ghannam,Res,7/1/2014,2020.0,Saudi Arabia,,51,175 cm,61 kg,Right,5/6/1994,22,RM/RB,2
Al Faisaly,Sultan Khalef Al Beshi,RB,6/29/2016,2021.0,Saudi Arabia,,62,174 cm,68 kg,Right,1/28/1990,27,RB/CDM,3
Al Faisaly,Wesam Saleh Suwayyid,Res,6/1/2011,2017.0,Saudi Arabia,,65,174 cm,67 kg,Left,8/31/1987,29,LB,3
Al Faisaly,Ziad Al Mutairi,Res,12/12/2014,2023.0,Saudi Arabia,,52,175 cm,70 kg,Right,4/30/1992,24,CF,3
Al Fateh,Abdulaziz Bo Shagra,Sub,12/1/2011,2022.0,Saudi Arabia,,65,179 cm,75 kg,Right,11/23/1981,35,RB/CB,3
Al Fateh,Abdullah Al Ammar,Sub,7/1/2012,2023.0,Saudi Arabia,,57,170 cm,68 kg,Right,3/1/1994,23,CM,3
Al Fateh,Abdullah Al Dawsari,LCB,1/8/2015,2022.0,Saudi Arabia,,60,180 cm,83 kg,Left,6/23/1990,26,CB/RB,3
Al Fateh,Abdullah Al Owayshir,GK,8/1/2009,2017.0,Saudi Arabia,,66,185 cm,73 kg,Right,5/13/1991,25,GK,2
Al Fateh,Abdullah Al Yousif,Res,7/1/2013,2020.0,Saudi Arabia,,52,175 cm,67 kg,Right,10/29/1997,19,CDM/CB,2
Al Fateh,Adel Dannah,Res,1/1/2015,2020.0,Saudi Arabia,,54,188 cm,82 kg,Right,6/27/1994,22,CB,3
Al Fateh,Ahmed Al Mubarak,Sub,5/25/2015,2017.0,Saudi Arabia,,61,175 cm,66 kg,Left,3/21/1985,32,CDM/LM/RM,3
Al Fateh,Ahmed Al Sultan,Res,7/1/2016,2023.0,Saudi Arabia,,51,176 cm,63 kg,Right,7/21/1993,23,CM,3
Al Fateh,Ali Ahmed Al Zaqan,Sub,1/1/2012,2022.0,Saudi Arabia,,63,177 cm,69 kg,Right,1/11/1991,26,RM,3
Al Fateh,Ali Al Bulayhi,LB,7/1/2015,2023.0,Saudi Arabia,,56,184 cm,79 kg,Right,11/21/1989,27,LB/CB,3
Al Fateh,Ali Al Mazaidi,Sub,7/19/2014,2021.0,Saudi Arabia,,63,187 cm,82 kg,Right,9/24/1985,31,GK,3
Al Fateh,Hamad Al Hamad,Res,11/7/2016,2017.0,Saudi Arabia,,68,164 cm,60 kg,Right,8/26/1987,29,LM/CAM,4
Al Fateh,Hamad Al Juhayyim,Sub,7/27/2015,2019.0,Saudi Arabia,,66,177 cm,73 kg,Right,10/11/1987,29,ST,4
Al Fateh,Hamdan Al Hamdan,RM,8/1/2009,2017.0,Saudi Arabia,,68,178 cm,61 kg,Right,12/1/1984,32,RM/CAM,4
Al Fateh,Hussain Ali Al Jasim,Sub,7/1/2012,2020.0,Saudi Arabia,,54,173 cm,65 kg,Right,8/13/1994,22,ST,3
Al Fateh,Kader,Res,8/21/2015,2022.0,Tunisia,,67,184 cm,71 kg,Right,10/7/1991,25,RB/RM,3
Al Fateh,Majed Al Marshadi,Sub,8/7/2016,2017.0,Saudi Arabia,,69,183 cm,81 kg,Left,1/11/1984,33,CB,3
Al Fateh,Majed Hazazi,RB,7/1/2015,2017.0,Saudi Arabia,,62,161 cm,59 kg,Right,4/19/1988,28,RB/RM,2
Al Fateh,Mohammed Al Fehaid,Sub,8/1/2009,2017.0,Saudi Arabia,,65,171 cm,64 kg,Right,1/8/1990,27,CDM/CM,3
Al Fateh,Mohammed Al Saeed,Res,7/1/2016,2021.0,Saudi Arabia,,50,172 cm,66 kg,Right,11/14/1996,20,CM/CAM,3
Al Fateh,Mohammed Essa Al Burayh,Res,7/1/2012,2022.0,Saudi Arabia,,51,182 cm,79 kg,Right,11/19/1993,23,GK,2
Al Fateh,Mubarak Al Sultan,Sub,7/1/2015,2022.0,Saudi Arabia,,56,168 cm,70 kg,Left,7/31/1993,23,LM/CM,3
Al Fateh,Nathan Júnior,ST,7/4/2016,2019.0,Brazil,,69,184 cm,78 kg,Right,3/10/1989,28,ST/LM,3
Al Fateh,Nouh Al Mousa,RDM,6/1/2013,2020.0,Saudi Arabia,,56,170 cm,66 kg,Right,2/23/1991,26,CM/LM/RM,3
Al Fateh,Riyadh Sharahili,CAM,7/1/2015,2018.0,Saudi Arabia,,56,183 cm,80 kg,Right,4/28/1993,23,CDM/LM,3
Al Fateh,Sandro Manoel,LDM,7/17/2015,2017.0,Brazil,,68,176 cm,70 kg,Right,7/23/1988,28,CDM,3
Al Fateh,Sayyaf Al Bishi,RCB,11/7/2016,2017.0,Saudi Arabia,,63,177 cm,66 kg,Right,6/18/1980,36,CB,2
Al Fateh,Tawfiq Bu Haymid,Sub,7/16/2014,2017.0,Saudi Arabia,,66,168 cm,57 kg,Left,10/29/1987,29,LM/RM/LB,3
Al Fateh,Ukra,LM,7/18/2016,2023.0,Portugal,,73,176 cm,74 kg,Right,3/16/1988,29,RW/CAM,4
Al Fateh,Yousef Khamis Al Sawasan,Sub,5/31/2015,2018.0,Saudi Arabia,,58,167 cm,57 kg,Left,4/1/1990,26,LB/LM,3
Al Hilal,Abdulaziz Al Dawsari,Sub,7/1/2007,2019.0,Saudi Arabia,,65,172 cm,65 kg,Left,11/10/1988,28,LM/CM,3
Al Hilal,Abdullah Al Hafith,Res,7/1/2013,2018.0,Saudi Arabia,,65,188 cm,75 kg,Right,12/25/1992,24,CB,3
Al Hilal,Abdullah Al Mayoof,GK,7/16/2016,2018.0,Saudi Arabia,,68,187 cm,83 kg,Right,1/23/1987,30,GK,3
Al Hilal,Abdullah Al Zori,Sub,7/1/2006,2019.0,Saudi Arabia,,67,178 cm,73 kg,Left,8/13/1987,29,LB/CB,3
Al Hilal,Abdullah Ateef,LDM,2/11/2013,2018.0,Saudi Arabia,,66,177 cm,68 kg,Right,8/3/1992,24,CDM/CM,3
Al Hilal,Abdulmajeed Al Ruwaili,Sub,6/30/2016,2018.0,Saudi Arabia,,70,168 cm,60 kg,Right,8/28/1986,30,CDM/LM,4
Al Hilal,Abdulmalek Al Khaibari,Sub,7/1/2016,2019.0,Saudi Arabia,,71,175 cm,72 kg,Right,3/13/1986,31,CDM/CM,2
Al Hilal,Ahmed Sharahili,Sub,12/16/2014,2018.0,Saudi Arabia,,63,185 cm,75 kg,Left,5/8/1994,22,CB/LB,3
Al Hilal,Awadh Khamis Al Faraj,Sub,2/9/2017,2020.0,Saudi Arabia,,69,165 cm,62 kg,Right,7/15/1988,28,CDM/CM,4
Al Hilal,Carlos Eduardo,CAM,7/5/2015,2018.0,Brazil,,75,184 cm,70 kg,Right,10/17/1989,27,ST/CAM,4
Al Hilal,Fahad Al Thunayan,Sub,1/22/2016,2022.0,Saudi Arabia,,63,185 cm,79 kg,Left,8/29/1986,30,GK,3
Al Hilal,Faisal Darwish,Res,12/31/2014,2019.0,Saudi Arabia,,65,176 cm,63 kg,Right,7/3/1991,25,RB/RWB,4
Al Hilal,Léo Bonatini,ST,7/18/2016,2019.0,Brazil,,75,185 cm,80 kg,Right,3/28/1994,23,ST,4
Al Hilal,Majed Al Najrani,Res,6/27/2016,2019.0,Saudi Arabia,,62,175 cm,65 kg,Right,1/25/1993,24,RM/CDM,3
Al Hilal,Marwan Al Haidari,Res,1/17/2016,2020.0,Saudi Arabia,,54,188 cm,86 kg,Right,4/12/1996,20,GK,2
Al Hilal,Mohammed Al Buraik,RB,7/1/2014,2019.0,Saudi Arabia,,67,173 cm,83 kg,Right,9/15/1992,24,RB,3
Al Hilal,Mohammed Al Shalhoub,Sub,1/1/1998,2017.0,Saudi Arabia,,69,163 cm,60 kg,Left,8/12/1980,36,CAM/CM/ST,3
Al Hilal,Mohammed Al Wakid,Sub,10/1/2009,2023.0,Saudi Arabia,,60,182 cm,82 kg,Right,3/25/1992,25,GK,3
Al Hilal,Mohammed Jahfali,RCB,1/1/2015,2018.0,Saudi Arabia,,71,185 cm,77 kg,Right,10/24/1990,26,CB,3
Al Hilal,Mujahid Al Mania,Res,8/3/2015,2018.0,Saudi Arabia,,59,185 cm,69 kg,Right,1/15/1996,21,ST,2
Al Hilal,Muteb Al Mufarrij,Res,1/1/2016,2020.0,Saudi Arabia,,54,181 cm,67 kg,Left,8/19/1996,20,CB,2
Al Hilal,Nawaf Al Abed,Sub,7/1/2008,2018.0,Saudi Arabia,,74,168 cm,59 kg,Left,1/26/1990,27,LM/RM,4
Al Hilal,Nicolás Milesi,RDM,8/7/2016,2018.0,Uruguay,,67,183 cm,75 kg,Right,11/10/1992,24,CDM/CB,4
Al Hilal,Omar Kharbin,Sub,1/11/2017,2017.0,Syria,,72,184 cm,76 kg,Right,1/15/1994,23,ST,3
Al Hilal,Osama Hawsawi,LCB,7/2/2016,2018.0,Saudi Arabia,,73,185 cm,75 kg,Right,3/31/1984,32,CB,3
Al Hilal,Salem Al Dawsari,RM,1/1/2011,2019.0,Saudi Arabia,,71,175 cm,62 kg,Right,8/19/1991,25,RM/LM,4
Al Hilal,Salman Al Faraj,LM,1/22/2016,2021.0,Saudi Arabia,,72,175 cm,69 kg,Left,8/1/1989,27,CM/CDM,4
Al Hilal,Yasser Al Qahtani,Sub,7/1/2005,2023.0,Saudi Arabia,,69,176 cm,77 kg,Right,10/10/1982,34,ST/CAM,3
Al Hilal,Yasser Al Shahrani,LB,7/1/2012,2018.0,Saudi Arabia,,74,171 cm,62 kg,Right,5/25/1992,24,LB/RB,4
Al Ittihad,Abdulaziz Al Aryani,Sub,7/1/2012,2020.0,Saudi Arabia,,56,166 cm,65 kg,Right,3/13/1996,21,ST,3
Al Ittihad,Abdullah Jaman Shuhail,Sub,7/15/2016,2019.0,Saudi Arabia,,63,168 cm,58 kg,Right,1/22/1985,32,LB/RB,5
Al Ittihad,Abdulrahman Al Ghamdi,Sub,7/1/2012,2022.0,Saudi Arabia,,68,178 cm,69 kg,Left,11/1/1994,22,ST/CAM/LM,3
Al Ittihad,Adnan Ibrahem Fallatah,LB,7/12/2016,2018.0,Saudi Arabia,,67,176 cm,70 kg,Left,10/20/1983,33,LB,2
Al Ittihad,Ahmad Hassan Assiri,LCB,1/22/2016,2020.0,Saudi Arabia,,70,179 cm,63 kg,Right,11/14/1991,25,CB/CDM,3
Al Ittihad,Ahmed Akaichi,ST,7/28/2016,2017.0,Tunisia,,68,185 cm,80 kg,Left,2/23/1989,28,ST,4
Al Ittihad,Ahmed Al Oufi,Res,7/9/2016,2017.0,Saudi Arabia,,58,168 cm,68 kg,Right,6/15/1992,24,CAM/LM,3
Al Ittihad,Ali Mohammed Al Amri,Res,7/1/2013,2020.0,Saudi Arabia,,51,184 cm,76 kg,Right,8/21/1994,22,GK,2
Al Ittihad,Amaar Ali Al Dohaim,Sub,6/1/2013,2019.0,Saudi Arabia,,61,175 cm,75 kg,Right,8/31/1993,23,CB/RB,3
Al Ittihad,Assaf Ahmed Al Qarni,Sub,8/20/2015,2018.0,Saudi Arabia,,66,177 cm,67 kg,Left,4/2/1984,32,GK,3
Al Ittihad,Awad Khrees,Sub,7/12/2015,2018.0,Saudi Arabia,,64,178 cm,73 kg,Right,1/5/1991,26,RB/RM,4
Al Ittihad,Badr Al Nakly,RCB,6/28/2016,2021.0,Saudi Arabia,,68,179 cm,69 kg,Right,5/20/1988,28,CB,3
Al Ittihad,Carlos Villanueva,CAM,7/19/2016,2020.0,Chile,,75,173 cm,73 kg,Left,2/5/1986,31,CAM/CM,3
Al Ittihad,Fahad Al Muwallad,LM,7/1/2011,2022.0,Saudi Arabia,,72,167 cm,59 kg,Right,9/14/1994,22,LM/ST,3
Al Ittihad,Fahed Al Berahim,LDM,7/1/2006,2023.0,Kuwait,,69,195 cm,73 kg,Right,2/25/1987,30,CDM/CM,3
Al Ittihad,Fawaz Al Qarni,GK,7/1/2011,2019.0,Saudi Arabia,,66,184 cm,82 kg,Right,4/2/1992,24,GK,3
Al Ittihad,Hani Mohammed Al Nahedh,Sub,7/1/2012,2017.0,Saudi Arabia,,62,179 cm,67 kg,Right,8/2/1987,29,GK,3
Al Ittihad,Jamal Abdullah Ba Jandouh,Sub,6/1/2013,2017.0,Saudi Arabia,,69,180 cm,71 kg,Right,8/22/1992,24,CDM,4
Al Ittihad,Khaled Al Samiri,RDM,7/1/2014,2020.0,Saudi Arabia,,58,167 cm,66 kg,Right,1/1/1997,20,CM,3
Al Ittihad,Mahmoud Abdel Moneim,RM,8/2/2015,2018.0,Egypt,Sub,73,182 cm,76 kg,Right,4/13/1994,22,RM/ST,4
Al Ittihad,Majed Al Khaibari,Sub,5/20/2015,2018.0,Saudi Arabia,,65,167 cm,60 kg,Left,9/24/1991,25,LB/LM,3
Al Ittihad,Moataz Tombakti,Sub,4/6/2016,2017.0,Saudi Arabia,,62,177 cm,65 kg,Right,5/13/1994,22,CDM/CM,2
Al Ittihad,Mohammed Qasem Al Nakhli,Sub,7/1/2013,2018.0,Saudi Arabia,,65,176 cm,74 kg,Left,1/19/1995,22,LB,3
Al Ittihad,Omar Mohammed Muzayil,RB,8/8/2016,2019.0,Saudi Arabia,,62,168 cm,60 kg,Right,7/25/1992,24,RB,2
Al Ittihad,Rabeaa Mohammed Sefiani,Res,1/18/2017,2022.0,Saudi Arabia,,65,180 cm,73 kg,Left,1/25/1987,30,LM/ST,3
Al Ittihad,Salman Al Sbeani,Res,7/1/2012,2017.0,Saudi Arabia,,59,169 cm,65 kg,Right,11/11/1989,27,RM/ST,3
Al Ittihad,Sultan Ahmed Mandash,Res,7/1/2014,2017.0,Saudi Arabia,,58,175 cm,58 kg,Right,10/17/1994,22,RM/LM,4
Al Ittihad,Turki Ahmed Al Khudair,Res,7/1/2013,2017.0,Saudi Arabia,,56,178 cm,75 kg,Right,8/23/1987,29,CM,3
Al Ittihad,Yasyn Hamza Al Nakhli,Sub,5/25/2015,2018.0,Saudi Arabia,,67,177 cm,75 kg,Right,9/27/1990,26,CB/RB,3
