Nationality,Name,Club,Birth_Date,Age,National_Position,Club_Position,Preferred_Position,Rating,Height,Weight,Preferred_Foot,Weak_foot
Colombia,Darwin Quintero,América,9/19/1987,29,Sub,Sub,ST/RM,73,166 cm,66 kg,Right,3
Colombia,Darío Burbano,León,3/5/1988,29,Sub,Sub,LM,69,168 cm,63 kg,Right,3
Colombia,David Camacho,La Equidad,6/12/1997,19,Res,Res,CM,54,178 cm,72 kg,Right,3
Colombia,David Contreras,Jaguares,2/7/1994,23,Sub,Sub,CDM,60,172 cm,62 kg,Right,2
Colombia,David Cortés,Cortuluá,5/1/1992,24,Res,Res,CAM/ST,61,177 cm,70 kg,Right,3
Colombia,David González,Indep. Medellín,7/20/1982,34,Sub,GK,GK,72,194 cm,84 kg,Right,2
Colombia,David Gómez,Once Caldas,3/25/1988,29,LB,LB,RB/LB,63,173 cm,73 kg,Right,4
Colombia,David Murillo,Junior,8/17/1993,23,Res,Res,RB,65,170 cm,68 kg,Right,2
Colombia,David Ospina,Arsenal,8/31/1988,28,GK,Sub,GK,79,183 cm,80 kg,Right,3
Colombia,David Silva,Millonarios,12/13/1986,30,Sub,Sub,CM/CDM,73,175 cm,74 kg,Right,3
Colombia,David Valencia,Al. Petrolera,5/31/1991,25,Sub,Sub,CB,66,185 cm,75 kg,Right,3
Colombia,Davinson Lemus,Atlético Huila,6/7/1997,19,Sub,Sub,LB/RB,56,178 cm,72 kg,Left,2
Colombia,Davinson Sánchez,Ajax,6/12/1996,20,Sub,RCB,CB,77,187 cm,79 kg,Right,3
Colombia,Dayro Moreno,Atl. Nacional,9/16/1985,31,ST,ST,ST,77,177 cm,73 kg,Right,4
Colombia,Dayron Benavides,Deportivo Pasto,5/9/1991,25,Sub,Sub,LB,58,188 cm,79 kg,Left,2
Colombia,Deimer Ruiz,Boyacá Chicó,9/22/1995,21,Sub,Sub,RM/LM,57,180 cm,70 kg,Left,3
Colombia,Deiver Machado,Millonarios,9/2/1993,23,LB,LB,LB,71,172 cm,70 kg,Left,3
Colombia,Deiver Parra,Patriotas,1/1/1992,25,RCB,RCB,CB/CDM,64,180 cm,75 kg,Right,2
Colombia,Deivy Balanta,Junior,9/2/1993,23,RCB,RCB,CB/RB,69,185 cm,76 kg,Right,3
Colombia,Denis Gómez,Águilas Doradas,10/7/1991,25,Sub,Sub,RM/LM,67,174 cm,70 kg,Right,2
Colombia,Didier Delgado,Deportes Tolima,7/25/1992,24,Sub,Sub,RM/RB,68,185 cm,70 kg,Right,3
Colombia,Didier Moreno,Indep. Medellín,9/15/1991,25,LDM,LDM,CDM,72,178 cm,71 kg,Right,2
Colombia,Diego Agamez,Jaguares,11/23/1998,18,Sub,Sub,GK,52,185 cm,80 kg,Right,2
Colombia,Diego Arias,Atl. Nacional,6/15/1985,31,LDM,LDM,CDM/CM,73,170 cm,65 kg,Right,4
Colombia,Diego Chará,Portland,4/5/1986,30,LDM,LDM,CDM/CM,71,172 cm,68 kg,Right,4
Colombia,Diego Chica,Cortuluá,2/11/1981,36,RDM,RDM,CDM,63,170 cm,70 kg,Left,4
Colombia,Diego Cuadros,Jaguares,5/28/1996,20,Res,Res,CAM,63,170 cm,75 kg,Right,3
Colombia,Diego Martínez,Patriotas,11/29/1989,27,Sub,Sub,GK,59,180 cm,74 kg,Right,3
Colombia,Diego Moreno,Envigado,2/27/1996,21,Res,Res,CAM,57,180 cm,75 kg,Right,3
Colombia,Diego Novoa,La Equidad,5/31/1989,27,Res,Res,GK,65,186 cm,88 kg,Right,3
Colombia,Diego Peralta,Atlético Bucaramanga,1/2/1985,32,RCB,RCB,CB,70,188 cm,84 kg,Right,3
Colombia,Diego Valoyes,La Equidad,9/22/1996,20,RM,RM,RM/RW,64,180 cm,76 kg,Right,4
Colombia,Diego Álvarez,La Equidad,9/23/1981,35,ST,ST,ST,72,173 cm,70 kg,Right,3
Colombia,Dorlan Pabón,Monterrey,1/24/1988,29,LW,LW,LW/CAM,78,168 cm,73 kg,Right,4
Colombia,Dubán Martínez,Fortaleza FC,3/12/1989,28,RS,RS,ST,57,172 cm,72 kg,Right,3
Colombia,Duman Herrera,Patriotas,7/30/1995,21,Sub,Sub,ST,58,170 cm,62 kg,Right,3
Colombia,Duvan Sánchez,Cortuluá,2/20/1997,20,Sub,Sub,ST,55,178 cm,66 kg,Right,2
Colombia,Duvier Riascos,Millonarios,6/26/1986,30,LS,LS,ST/RW,70,185 cm,75 kg,Right,3
Colombia,Duván Sevillano,Cortuluá,4/10/1999,17,Res,Res,CM,49,185 cm,74 kg,Right,2
Colombia,Duván Vergara,Envigado,9/9/1996,20,Sub,Sub,RM,66,172 cm,72 kg,Right,3
Colombia,Duván Zapata,Udinese,4/1/1991,25,Sub,ST,ST,78,189 cm,88 kg,Right,4
Colombia,Dávinson Monsalve,Atlético Bucaramanga,6/9/1984,32,Sub,Sub,CB,69,187 cm,82 kg,Right,4
Colombia,Déiner Córdoba,Boyacá Chicó,4/21/1992,24,RDM,RDM,CDM,63,175 cm,73 kg,Right,3
Colombia,Eber Díaz,Jaguares,4/30/1996,20,Sub,Sub,ST,54,178 cm,72 kg,Right,2
Colombia,Eddie Segura,Atlético Huila,2/2/1997,20,LCB,LCB,CB,58,182 cm,78 kg,Right,3
Colombia,Eder Chaux,Al. Petrolera,12/20/1991,25,Sub,Sub,GK,65,189 cm,79 kg,Right,3
Colombia,Edis Ibargüen,Patriotas,11/22/1991,25,ST,ST,ST/RW,69,188 cm,82 kg,Right,3
Colombia,Edison Duarte,Cortuluá,6/24/1992,24,LB,LB,LB,64,171 cm,67 kg,Left,3
Colombia,Eduar Caicedo,Cortuluá,4/23/1995,21,LCB,LCB,CB,63,186 cm,79 kg,Left,3
Colombia,Eduard Atuesta,Indep. Medellín,6/18/1997,19,Res,Res,CDM,57,180 cm,71 kg,Right,3
Colombia,Eduard Gutiérrez,Atlético Huila,8/9/1995,21,Res,Res,CB,58,184 cm,84 kg,Right,3
Colombia,Edwards Jiménez,Boyacá Chicó,7/14/1981,35,Sub,Sub,ST,63,177 cm,75 kg,Right,3
Colombia,Edwin Cardona,Monterrey,12/8/1992,24,CAM,RW,CAM/RW,74,188 cm,91 kg,Right,4
Colombia,Edwin Torres,Al. Petrolera,11/9/1997,19,Sub,Sub,RM,51,180 cm,75 kg,Right,3
Colombia,Edwin Valencia,Atl. Nacional,3/29/1985,32,Sub,Sub,CDM,70,185 cm,82 kg,Right,3
Colombia,Edwin Velasco,Atl. Nacional,11/5/1991,25,Sub,Sub,LB,64,178 cm,75 kg,Left,3
Colombia,Edwin Ávila,Jaguares,9/24/1986,30,Sub,Sub,CB,64,184 cm,79 kg,Right,3
Colombia,Elacio Córdoba,Indep. Medellín,10/21/1993,23,Res,Res,RB,66,175 cm,72 kg,Right,2
Colombia,Eliser Quiñones,Millonarios,11/7/1988,28,LM,LM,LM/ST,66,174 cm,80 kg,Left,3
Colombia,Elkin Blanco,Atl. Nacional,9/5/1989,27,Res,Res,CDM,70,179 cm,79 kg,Right,3
Colombia,Elkin Soto,Once Caldas,8/4/1980,36,LDM,LDM,CM/CDM,73,179 cm,75 kg,Left,2
Colombia,Elvis González,Jaguares,2/20/1982,35,LB,LB,LB,66,174 cm,69 kg,Left,3
Colombia,Elvis Mosquera,Envigado,1/22/1991,26,LB,LB,LB,67,182 cm,77 kg,Left,3
Colombia,Elvis Perlaza,Atlético Huila,3/7/1989,28,RB,RB,RB,70,173 cm,72 kg,Right,3
Colombia,Enrique Serje,Junior,1/10/1996,21,Sub,Sub,CDM,61,180 cm,72 kg,Right,4
Colombia,Enrique Soto,Boyacá Chicó,10/27/1995,21,LM,LM,LM,68,162 cm,60 kg,Left,3
Colombia,Erik Correa,Bahía Blanca,7/20/1992,24,Sub,Sub,ST,64,180 cm,86 kg,Right,3
Colombia,Esneyder Mena,Jaguares,11/3/1997,19,Res,Res,RM,58,177 cm,64 kg,Right,3
Colombia,Esteban Ruiz,La Equidad,7/15/1997,19,Sub,Sub,GK,56,188 cm,84 kg,Right,3
Colombia,Estéfano Arango,Al. Petrolera,1/18/1994,23,RM,RM,RM/LM,72,170 cm,63 kg,Right,3
Colombia,Ever Valencia,Wisła Kraków,1/23/1997,20,Res,Res,RM/LM,62,175 cm,73 kg,Left,3
Colombia,Ezequiel Palomeque,Atl. Nacional,10/7/1992,24,Res,Res,CB,60,193 cm,83 kg,Right,2
Colombia,Fabio Burbano,Atlético Bucaramanga,6/19/1992,24,Sub,Sub,RM/CAM,68,170 cm,70 kg,Right,3
Colombia,Fabio Castillo,Jaguares,3/18/1990,27,RB,RB,RB,61,174 cm,70 kg,Left,3
Colombia,Fabián Castillo,Trabzonspor,6/17/1992,24,LM,LM,LM/RM,76,173 cm,68 kg,Right,4
Colombia,Fabián Hernández,Fortaleza FC,8/27/1984,32,Sub,Sub,ST,55,189 cm,83 kg,Right,3
Colombia,Fabián Vargas,La Equidad,4/17/1980,36,RCM,RCM,CDM,69,177 cm,72 kg,Right,3
Colombia,Fabián Viáfara,Águilas Doradas,3/16/1992,25,RM,RM,RB/RM,68,167 cm,65 kg,Right,3
Colombia,Falcao,AS Monaco,2/10/1986,31,RS,RS,ST,82,177 cm,72 kg,Right,4
Colombia,Farid Díaz,Atl. Nacional,7/20/1983,33,LB,LB,LB,73,170 cm,72 kg,Left,2
Colombia,Fausto Obeso,Boyacá Chicó,8/28/1988,28,Sub,Sub,RB,62,170 cm,68 kg,Left,3
Colombia,Feiver Mercado,Cortuluá,6/1/1990,26,ST,ST,ST,62,174 cm,74 kg,Right,3
Colombia,Felipe Aguilar,Atl. Nacional,1/20/1993,24,RCB,RCB,CB,72,190 cm,82 kg,Right,3
Colombia,Felipe Banguero,Millonarios,12/31/1988,28,Res,Res,LB,65,184 cm,74 kg,Left,3
Colombia,Felipe Pardo,FC Nantes,8/17/1990,26,Sub,Sub,RW/RM,77,178 cm,83 kg,Right,4
Colombia,Fernando Uribe,Toluca,1/1/1988,29,LS,LS,ST,74,181 cm,76 kg,Right,4
Colombia,Ferney Otero,Estudiantes,5/26/1995,21,RS,RS,ST,62,179 cm,70 kg,Right,3
Colombia,Francisco Córdoba,Deportivo Pasto,9/8/1988,28,RB,RB,RB/RM,68,171 cm,75 kg,Right,4
Colombia,Francisco Meza,Tigres,8/29/1991,25,Sub,Sub,CB,72,184 cm,73 kg,Right,3
Colombia,Francisco Nájera,Atl. Nacional,7/25/1983,33,Sub,Sub,CB,68,185 cm,78 kg,Right,3
Colombia,Franco Arizala,Chiapas,6/4/1986,30,Sub,Sub,ST,69,180 cm,79 kg,Right,3
Colombia,Frank Fabra,Boca Juniors,2/22/1991,26,LB,LB,LB,76,172 cm,72 kg,Left,3
Colombia,Freddy Flórez,Al. Petrolera,2/14/1993,24,LDM,LDM,CDM,62,178 cm,62 kg,Right,3
Colombia,Freddy Hinestroza,Veracruz,4/5/1990,26,LM,LM,LM/RM,73,179 cm,72 kg,Left,3
Colombia,Freddy Salazar,Once Caldas,4/1/1995,21,Sub,Sub,RM/LM,69,178 cm,70 kg,Right,3
Colombia,Fredy Montero,Whitecaps FC,7/26/1987,29,ST,ST,ST/CF,78,176 cm,73 kg,Right,4
Colombia,Fábio Rodríguez,Águilas Doradas,10/3/1985,31,LB,LB,LB,67,174 cm,67 kg,Left,3
Colombia,Fáiner Torijano,Deportes Tolima,8/31/1988,28,LCB,LCB,CB,71,181 cm,73 kg,Right,3
Colombia,Félix García,Deportivo Pasto,12/5/1983,33,RCB,RCB,CB,64,185 cm,82 kg,Right,2
Colombia,Félix Micolta,Chiapas,11/30/1989,27,RB,RB,RB,64,176 cm,76 kg,Right,2
Colombia,Félix Noguera,Junior,3/31/1987,29,Sub,Sub,LB,66,177 cm,75 kg,Left,3
Colombia,Gabriel Diaz,Millonarios,1/28/1996,21,Res,Res,CB/RB,65,183 cm,73 kg,Right,2
Colombia,Geovanni Banguera,Atlético Huila,12/15/1995,21,Sub,Sub,GK,58,187 cm,80 kg,Right,2
Colombia,Germán Gutiérrez,Junior,1/16/1990,27,Res,Res,LB,62,170 cm,72 kg,Left,3
Colombia,Germán Mera,Deportivo Cali,3/5/1990,27,LCB,LCB,CB,71,187 cm,83 kg,Left,2
Colombia,Gianfranco Ferrero,Rafaela,8/25/1993,23,Sub,Sub,CAM,60,176 cm,72 kg,Right,3
Colombia,Guillermo Celis,V. Guimarães,5/8/1993,23,RCM,RCM,CDM,73,177 cm,74 kg,Right,3
Colombia,Gustavo Bolívar,Al. Petrolera,4/16/1985,31,Sub,Sub,CDM/CM,67,182 cm,84 kg,Right,3
Colombia,Hamilton Valencia,Atlético Huila,1/31/1997,20,Res,Res,LM/RM,56,175 cm,70 kg,Right,2
Colombia,Hansel Zapata,Once Caldas,2/11/1995,22,Res,Res,LM,60,182 cm,77 kg,Right,3
Colombia,Hanyer Mosquera,Águilas Doradas,1/15/1987,30,LCB,LCB,CB,70,185 cm,82 kg,Right,2
Colombia,Harlin Suárez,Atlético Bucaramanga,6/28/1994,22,Sub,Sub,CDM,57,171 cm,66 kg,Right,3
Colombia,Harold Isaza,León,6/29/1996,20,Sub,Sub,CAM,64,184 cm,68 kg,Right,2
Colombia,Harold Mosquera,Millonarios,2/7/1995,22,RM,RM,RM,64,168 cm,70 kg,Right,3
Colombia,Harold Rivera,Jaguares,3/19/1993,24,Sub,Sub,LM/CAM,68,174 cm,72 kg,Right,4
Colombia,Harrison Canchimbo,Deportivo Pasto,9/14/1990,26,LB,LB,LB,63,166 cm,64 kg,Left,3
Colombia,Harrison Henao,Millonarios,2/19/1987,30,Sub,Sub,CDM,72,181 cm,70 kg,Right,3
Colombia,Helibelton Palacios,Club Brugge,6/11/1993,23,Sub,Sub,RB,71,177 cm,75 kg,Right,2
Colombia,Henry Obando,Atlético Bucaramanga,4/5/1993,23,RB,RB,RB,67,186 cm,75 kg,Right,3
Colombia,Henry Rojas,Millonarios,7/27/1987,29,LCM,LCM,CM/LM,66,177 cm,74 kg,Left,3
Colombia,Hernán Pertuz,Indep. Medellín,3/31/1989,27,LCB,LCB,CB,68,183 cm,78 kg,Right,2
Colombia,Hugo Rodallega,Trabzonspor,7/25/1985,31,ST,ST,ST,75,181 cm,72 kg,Right,3
Colombia,Humberto Acevedo,Deportivo Cali,5/23/1997,19,Sub,Sub,GK,54,184 cm,78 kg,Right,3
Colombia,Humberto Osorio,Ind. Santa Fe,6/24/1988,28,Sub,Sub,ST/CAM,68,178 cm,78 kg,Right,2
Colombia,Hárrison Mojica,Cortuluá,2/17/1993,24,Sub,Sub,CAM,66,168 cm,67 kg,Left,3
Colombia,Héctor Quiñones,Junior,3/17/1992,25,LB,LB,LB,67,178 cm,70 kg,Left,3
Colombia,Héctor Urrego,Ind. Santa Fe,11/10/1992,24,RCB,RCB,CB,68,183 cm,77 kg,Right,2
Colombia,Isaac Fara,Al. Petrolera,9/20/1997,19,Res,Res,RB,54,189 cm,88 kg,Right,2
Colombia,Iván Angulo,Envigado,3/22/1999,18,Sub,Sub,RM,54,170 cm,62 kg,Right,3
Colombia,Iván Arboleda,Banfield,4/21/1996,20,Sub,Sub,GK,62,185 cm,76 kg,Right,3
Colombia,Iván Rojas,Envigado,7/24/1997,19,Sub,Sub,CDM,61,177 cm,76 kg,Left,2
Colombia,Jaime Córdoba,Once Caldas,5/7/1988,28,RDM,RDM,CDM,69,182 cm,81 kg,Right,4
Colombia,Jaime Sierra,Once Caldas,4/11/1986,30,Res,Res,CAM,62,176 cm,73 kg,Right,3
Colombia,Jair Mosquera,Junior,2/5/1992,25,Sub,Sub,GK,60,185 cm,90 kg,Right,2
Colombia,Jair Palacios,Millonarios,6/30/1990,26,RB,RB,RB,69,178 cm,72 kg,Right,2
Colombia,Jairo Molina,Deportes Tolima,4/28/1993,23,Res,Res,ST,60,183 cm,78 kg,Right,3
Colombia,Jairo Palomino,Atlético Tucumán,8/2/1988,28,Sub,Sub,CDM,70,182 cm,70 kg,Right,3
Colombia,James Aguirre,Atlético Bucaramanga,5/21/1992,24,Sub,Sub,GK,60,180 cm,70 kg,Right,2
Colombia,James Rodríguez,Real Madrid,7/12/1991,25,LAM,CAM,CAM/RM,87,180 cm,75 kg,Left,3
Colombia,James Sánchez,Junior,5/4/1988,28,RDM,RDM,CDM/CM,73,177 cm,67 kg,Right,3
Colombia,Janeiler Rivas,Millonarios,5/18/1988,28,Res,Res,CB,65,194 cm,93 kg,Right,3
Colombia,Jarlan Barrera,Junior,9/16/1995,21,Sub,Sub,CAM,70,171 cm,73 kg,Left,4
Colombia,Javier López,Ind. Santa Fe,10/30/1988,28,Sub,Sub,CB,69,194 cm,80 kg,Right,2
Colombia,Javier Orobio,Atlético Bucaramanga,7/3/1996,20,Sub,Sub,GK,54,185 cm,80 kg,Right,2
Colombia,Javier Reina,Deportivo Pasto,1/4/1989,28,CAM,CAM,CAM,69,173 cm,70 kg,Left,3
Colombia,Javier Restrepo,Águilas Doradas,8/22/1977,39,RDM,RDM,CDM,65,172 cm,75 kg,Right,3
Colombia,Jean Carlos Becerra,Cortuluá,8/17/1993,23,Sub,Sub,CAM/CM,67,167 cm,67 kg,Right,2
Colombia,Jean Carlos Blanco,La Equidad,4/6/1992,24,Sub,Sub,ST/CAM,69,183 cm,69 kg,Right,3
Colombia,Jeferson Torres,Atlético Bucaramanga,3/21/1997,20,Res,Res,CDM,53,178 cm,71 kg,Right,3
Colombia,Jefferson Angulo,Fortaleza FC,12/26/1986,30,CAM,CAM,CAM,56,179 cm,70 kg,Left,3
Colombia,Jefferson Cuero,Monarcas Morelia,5/15/1988,28,LM,LM,LM,73,173 cm,66 kg,Left,2
Colombia,Jefferson Duque,Deportivo Cali,5/17/1987,29,ST,ST,ST,73,183 cm,79 kg,Right,2
Colombia,Jefferson Gómez,Envigado,6/22/1996,20,RCB,RCB,CB,66,185 cm,78 kg,Right,3
Colombia,Jefferson Lerma,Levante UD,10/25/1994,22,Sub,Sub,CDM/RB,75,179 cm,70 kg,Right,4
Colombia,Jefferson Martínez,Envigado,8/16/1993,23,GK,GK,GK,67,183 cm,79 kg,Right,3
Colombia,Jeison Murillo,Inter,5/27/1992,24,Sub,LCB,CB,80,182 cm,78 kg,Right,2
Colombia,Jeison Palacios,Atlético Bucaramanga,3/20/1994,23,Sub,Sub,CB,64,185 cm,74 kg,Right,3
Colombia,Jeison Ángulo,Deportivo Cali,6/27/1996,20,LB,LB,LB,61,182 cm,74 kg,Left,3
Colombia,Jerry Ortiz,Once Caldas,11/7/1992,24,Sub,Sub,RM/CAM,69,176 cm,74 kg,Right,3
Colombia,Jesús Arrieta,Jaguares,1/10/1991,26,ST,ST,ST,62,182 cm,78 kg,Right,3
Colombia,Jesús Marimón,Once Caldas,9/9/1998,18,Sub,Sub,CDM,63,182 cm,76 kg,Right,3
Colombia,Jesús Murillo,Patriotas,8/17/1993,23,Sub,Sub,CB,67,173 cm,73 kg,Right,3
Colombia,Jherson Vergara,Arsenal Tula,5/26/1994,22,CB,CB,CB,71,187 cm,80 kg,Right,2
Colombia,Jhoaho Hinestroza,Jaguares,12/31/1995,21,Res,Res,RM/LM,63,175 cm,69 kg,Right,3
Colombia,Jhon Arboleda,Once Caldas,2/3/2000,17,Res,Res,ST,52,178 cm,71 kg,Right,3
Colombia,Jhon Cano,La Equidad,12/20/1982,34,Sub,Sub,RB,66,175 cm,74 kg,Right,2
Colombia,Jhon Córdoba,1. FSV Mainz 05,5/11/1993,23,RS,RS,ST,77,185 cm,85 kg,Right,3
Colombia,Jhon Duque,Millonarios,6/4/1992,24,RCM,RCM,CDM,67,173 cm,68 kg,Right,3
Colombia,Jhon Freddy Pajoy,Atlético Bucaramanga,11/10/1988,28,LM,LM,LM/CAM,68,175 cm,72 kg,Left,3
Colombia,Jhon Lucumi,Deportivo Cali,6/26/1998,18,Res,Res,LB,56,185 cm,78 kg,Left,3
Colombia,Jhon Mosquera,Atl. Nacional,5/8/1990,26,Sub,Sub,LW/RW,63,186 cm,78 kg,Left,3
Colombia,Jhon Pérez,Atlético Bucaramanga,7/22/1988,28,RM,RM,CAM/RM,67,174 cm,67 kg,Right,3
Colombia,Jhon Ramos,Patriotas,1/21/1998,19,Res,Res,ST,54,178 cm,70 kg,Right,3
Colombia,Jhon Valencia,Águilas Doradas,1/4/1982,35,Sub,Sub,CB,64,182 cm,73 kg,Right,3
Colombia,Jhonathan Muñoz,Once Caldas,8/1/1988,28,RCB,RCB,CB,70,178 cm,76 kg,Right,3
Colombia,Jhonier Viveros,Indep. Medellín,4/28/1992,24,Sub,Sub,LM,69,170 cm,70 kg,Right,3
Colombia,Jhony Cano,Atlético Bucaramanga,7/14/1989,27,Sub,Sub,ST/CAM,69,177 cm,77 kg,Left,3
Colombia,Jhorman Yepes,Al. Petrolera,7/15/1996,20,Res,Res,ST,54,168 cm,65 kg,Right,3
Colombia,Jimmy Medranda,Sporting KC,2/7/1994,23,RW,RW,LB/RW,70,172 cm,68 kg,Left,2
Colombia,Jimmy Mican,Fortaleza FC,5/13/1994,22,LB,LB,LB,58,176 cm,63 kg,Left,3
Colombia,Joao Rodríguez,Cortuluá,5/19/1996,20,Sub,Sub,ST/CAM,61,180 cm,69 kg,Right,2
Colombia,Johan Arango,Ind. Santa Fe,2/5/1991,26,Sub,Sub,CAM/ST,72,182 cm,76 kg,Right,3
Colombia,Johan Jiménez,Águilas Doradas,10/18/1997,19,Res,Res,ST,55,185 cm,79 kg,Right,3
Colombia,Johan Mojica,Girona CF,8/21/1992,24,Sub,Sub,LM/LB,70,185 cm,73 kg,Left,2
Colombia,John Hernández,Indep. Medellín,6/22/1986,30,RDM,RDM,CDM,71,176 cm,73 kg,Right,4
Colombia,John Lozano,Atlético Huila,7/31/1984,32,RCB,RCB,CB,68,183 cm,77 kg,Right,3
Colombia,John Varela,Águilas Doradas,9/6/1987,29,Sub,Sub,CAM/RM,65,163 cm,62 kg,Right,3
Colombia,Johnny Mostasilla,Boyacá Chicó,1/3/1991,26,Res,Res,CB,64,187 cm,81 kg,Right,3
Colombia,Jonathan Acosta,Jaguares,11/10/1988,28,Sub,Sub,CAM,60,180 cm,74 kg,Right,2
Colombia,Jonathan Agudelo,Jaguares,12/17/1992,24,Sub,Sub,ST,68,180 cm,70 kg,Right,3
Colombia,Jonathan Estrada,Junior,1/27/1983,34,RAM,RAM,CAM/RW,73,182 cm,74 kg,Left,3
Colombia,Jonathan Lopera,Indep. Medellín,6/2/1987,29,Sub,Sub,CB/CDM,72,181 cm,77 kg,Right,3
Colombia,Jonathan Ávila,Junior,11/1/1991,25,Sub,Sub,CB/CDM,70,190 cm,88 kg,Right,3
Colombia,Jorge Aguirre,Junior,6/18/1987,29,Sub,Sub,CAM,72,169 cm,68 kg,Right,3
Colombia,Jorge Arias,Indep. Medellín,12/13/1992,24,Sub,Sub,CB,68,184 cm,77 kg,Left,3
Colombia,Jorge Betancur,Atlético Huila,8/19/1991,25,Sub,Sub,RM,59,188 cm,80 kg,Right,3
Colombia,Jorge Carrascal,Sevilla Atlét.,5/25/1998,18,Sub,Sub,CAM,66,168 cm,54 kg,Right,2
Colombia,Jorge Obregón,Ind. Santa Fe,3/29/1997,20,Res,Res,ST,58,176 cm,72 kg,Right,2
Colombia,Jorge Ramos,Atlético Huila,10/2/1992,24,RS,RS,ST/LM,63,182 cm,80 kg,Right,3
Colombia,Jorge Segura,Envigado,1/18/1997,20,LCB,LCB,CB,62,187 cm,80 kg,Right,3
Colombia,Jose Johan Silva,Patriotas,6/12/1994,22,Sub,Sub,GK,61,190 cm,77 kg,Right,2
Colombia,Jossymar Gómez,Atlético Bucaramanga,8/13/1987,29,LDM,LDM,CDM/RB,63,174 cm,69 kg,Right,3
Colombia,José Chunga,Junior,7/11/1991,25,Sub,Sub,GK,65,180 cm,80 kg,Right,3
Colombia,José Cuadrado,Once Caldas,6/1/1985,31,GK,GK,GK,73,181 cm,79 kg,Right,3
Colombia,José David Lloreda,Deportivo Cali,8/12/1994,22,Sub,Sub,ST,63,178 cm,73 kg,Right,2
Colombia,José David Moya,Ind. Santa Fe,8/7/1992,24,Sub,Sub,CB,68,185 cm,77 kg,Right,3
Colombia,José De la Cuesta,Once Caldas,2/10/1983,34,Res,Res,CB,71,184 cm,73 kg,Right,3
Colombia,José Escobar,Boyacá Chicó,9/10/1987,29,Sub,Sub,GK,63,190 cm,79 kg,Right,3
Colombia,José Guzmán,Patriotas,2/15/1998,19,Res,Res,CAM,53,178 cm,73 kg,Right,3
Colombia,José Izquierdo,Club Brugge,7/7/1992,24,LW,LW,LW,78,171 cm,75 kg,Right,3
Colombia,José Luis Díaz,Boyacá Chicó,2/5/1995,22,LB,LB,LB,60,180 cm,76 kg,Left,2
Colombia,José Luis Moreno,Once Caldas,10/22/1996,20,LCB,LCB,CB,66,187 cm,78 kg,Left,3
Colombia,José Quiñones,Boyacá Chicó,1/3/1994,23,Sub,Sub,RB,61,182 cm,73 kg,Right,3
Colombia,José Ramírez,Once Caldas,10/20/1987,29,Sub,Sub,CB,62,180 cm,78 kg,Right,3
Colombia,José Valencia,Ind. Santa Fe,12/18/1991,25,Sub,Sub,ST,66,185 cm,82 kg,Right,4
Colombia,Jown Cardona,Deportivo Cali,1/9/1995,22,Sub,Sub,CAM,68,169 cm,68 kg,Right,3
Colombia,Juan Arboleda,Deportes Tolima,7/28/1989,27,Sub,Sub,RB,67,183 cm,74 kg,Right,3
Colombia,Juan Bolaños,Cortuluá,11/3/1995,21,Res,Res,CB,61,180 cm,80 kg,Right,3
Colombia,Juan Cabezas,Houston Dynamo,2/27/1991,26,CM,CM,CDM,69,182 cm,79 kg,Right,3
Colombia,Juan Caicedo,Indep. Medellín,7/13/1989,27,RS,RS,ST,73,187 cm,79 kg,Right,2
Colombia,Juan Camilo Chaverra,Indep. Medellín,12/12/1992,24,Sub,Sub,GK,61,185 cm,81 kg,Right,3
Colombia,Juan Camilo Roa,Junior,11/14/1994,22,Res,Res,CDM,69,178 cm,65 kg,Right,3
Colombia,Juan Camilo Zúñiga,Watford,12/14/1985,31,Sub,Sub,LB/RB,73,172 cm,72 kg,Right,2
Colombia,Juan Campo,Cortuluá,5/28/1993,23,Sub,Sub,CDM,63,171 cm,69 kg,Right,2
Colombia,Juan Carabalí,Cortuluá,1/24/1997,20,Sub,Sub,CB,59,190 cm,81 kg,Right,2
Colombia,Juan Cuadrado,Juventus,5/26/1988,28,RAM,RM,RM/CAM,83,179 cm,71 kg,Right,3
Colombia,Juan Daniel Roa,Ind. Santa Fe,8/20/1991,25,RM,RM,RM/CM,68,172 cm,67 kg,Right,2
Colombia,Juan David Caicedo,Santos Laguna,4/12/1996,20,Sub,Sub,CB,62,185 cm,78 kg,Right,2
Colombia,Juan David Díaz,Boyacá Chicó,3/27/1997,20,Sub,Sub,LM,54,180 cm,76 kg,Right,3
Colombia,Juan David Jiménez,Fortaleza FC,3/12/1994,23,Sub,Sub,CDM,60,176 cm,72 kg,Right,3
Colombia,Juan David Ríos,Al. Petrolera,10/7/1991,25,RDM,RDM,CDM/RM,66,173 cm,72 kg,Right,2
Colombia,Juan David Valencia,Águilas Doradas,3/19/1993,31,Sub,Sub,LB/LM,68,183 cm,77 kg,Right,4
Colombia,Juan Domínguez,Millonarios,12/17/1986,30,Sub,Sub,CDM/LB,65,173 cm,65 kg,Left,2
Colombia,Juan Fernando Quintero,Indep. Medellín,1/18/1993,24,RAM,RAM,CAM,77,169 cm,64 kg,Left,2
Colombia,Juan Giraldo,Águilas Doradas,7/20/1997,20,Sub,Sub,CM,57,182 cm,78 kg,Right,3
Colombia,Juan Jiménez,Envigado,6/20/1996,20,Sub,Sub,GK,56,184 cm,72 kg,Right,3
