Rating_Group,Rating,Name,Birth_Date,Age,Age_Group,Nationality,Club,Position,Contract_Expiry,Preferred_Position,Height,Weight,Preferred_Foot,Weak_foot
70-79,70,Felipe,5/15/1987,29,Normal,Brazil,Hannover 96,Defender,2018.0,CB,193 cm,90 kg,Left,3
0-69,69,Luis Ibáñez,7/15/1988,28,Normal,Argentina,Trabzonspor,Defender,2019.0,LB/LM,170 cm,73 kg,Left,2
70-79,71,Manu Barreiro,1/1/1987,30,Normal,Spain,Gimnàstic,Attacker,2019.0,ST,192 cm,81 kg,Right,2
70-79,70,Maciej Dąbrowski,4/20/1987,29,Normal,Poland,Legia Warszawa,Defender,2019.0,CB,194 cm,88 kg,Right,3
70-79,70,Diallo Guidileye,12/30/1989,27,Normal,Mauritania,AS Nancy,Midfielder,2019.0,CDM/CM,181 cm,76 kg,Right,3
70-79,70,Marcus Olsson,5/17/1988,28,Normal,Sweden,Derby County,Defender,2019.0,LB,180 cm,70 kg,Left,2
70-79,70,Emir Kujović,6/22/1988,28,Normal,Sweden,KAA Gent,Attacker,2019.0,ST,193 cm,86 kg,Right,4
70-79,70,Mervan Çelik,5/26/1990,26,Normal,Sweden,Akhisarspor,Midfielder,2017.0,LM/RM,177 cm,71 kg,Right,3
70-79,70,George Corral,7/18/1990,26,Normal,Mexico,Querétaro,Defender,2020.0,RB,176 cm,70 kg,Right,4
70-79,70,Sergey Parshivlyuk,3/18/1989,28,Normal,Russia,Anzhi Makhachkala,Defender,2019.0,RB/RWB,180 cm,76 kg,Right,3
70-79,70,Kirill Kombarov,1/22/1987,30,Normal,Russia,Arsenal Tula,Defender,2018.0,RB/RM,179 cm,68 kg,Right,3
70-79,70,Keirrison,12/3/1988,28,Normal,Brazil,Arouca,Attacker,2018.0,ST,184 cm,80 kg,Right,4
70-79,70,Guillermo Molins,9/26/1988,28,Normal,Sweden,Panathinaikos,Attacker,2018.0,ST/RM,186 cm,83 kg,Right,3
70-79,70,Miguel Ponce,4/12/1989,27,Normal,Mexico,Guadalajara,Defender,2020.0,LB,175 cm,82 kg,Left,4
70-79,70,Oswaldo Alanís,3/18/1989,28,Normal,Mexico,Guadalajara,Defender,2020.0,CB,186 cm,75 kg,Left,3
70-79,70,Javier Cortés,7/20/1989,27,Normal,Mexico,U.N.A.M.,Midfielder,2020.0,CM,170 cm,75 kg,Right,4
70-79,70,Omar Merlo,6/12/1986,30,Normal,Argentina,CD Huachipato,Defender,2020.0,CB,182 cm,77 kg,Right,2
70-79,70,Jacob Butterfield,6/10/1990,26,Normal,England,Derby County,Midfielder,2019.0,CM,175 cm,75 kg,Right,5
70-79,70,Fabián Monzón,4/13/1987,29,Normal,Argentina,Uni. de Chile,Defender,2018.0,LB,179 cm,82 kg,Left,2
70-79,70,Anton Putsila,6/23/1987,29,Normal,Belarus,Gaziantepspor,Midfielder,2017.0,CAM/RM,180 cm,74 kg,Right,4
70-79,70,Manucho,3/7/1983,34,Old,Angola,Rayo Vallecano,Attacker,2017.0,ST,187 cm,83 kg,Left,2
70-79,70,Óscar Rojas,2/5/1988,29,Normal,Mexico,Toluca,Defender,2018.0,RB,171 cm,72 kg,Right,4
70-79,70,Gevorg Ghazaryan,4/5/1988,28,Normal,Armenia,Marítimo,Midfielder,2018.0,CM/LW,177 cm,73 kg,Right,4
70-79,70,Luke Ayling,8/25/1991,25,Normal,England,Leeds United,Defender,2019.0,RB/CB,183 cm,72 kg,Right,3
70-79,70,Federico Macheda,8/22/1991,25,Normal,Italy,Novara,Attacker,2020.0,ST,184 cm,73 kg,Right,3
70-79,70,Jordon Mutch,12/2/1991,25,Normal,England,Reading,Midfielder,2019.0,CM/CAM,188 cm,81 kg,Right,4
70-79,70,Nicklas Bärkroth,1/19/1992,25,Normal,Sweden,IFK Norrköping,Midfielder,2017.0,RM,172 cm,78 kg,Right,4
70-79,70,Vincenzo Fiorillo,1/13/1990,27,Normal,Italy,Pescara,Goalkeeper,2020.0,GK,190 cm,79 kg,Right,2
70-79,70,Massimo Volta,5/14/1987,29,Normal,Italy,Perugia,Defender,2018.0,CB/RB,184 cm,78 kg,Right,3
70-79,70,Johnny Russell,4/8/1990,26,Normal,Scotland,Derby County,Midfielder,2018.0,LW/RW,178 cm,78 kg,Left,3
70-79,70,Charles,2/14/1985,32,Old,Brazil,Antalyaspor,Midfielder,2018.0,CDM/CM,175 cm,73 kg,Right,3
70-79,70,Nejmeddin Daghfous,10/1/1986,30,Normal,Tunisia,Würzburger Kickers,Midfielder,2017.0,LW/CF,178 cm,77 kg,Right,4
70-79,70,Jorge Villafaña,9/16/1989,27,Normal,United States,Santos Laguna,Defender,2018.0,LB,175 cm,68 kg,Left,3
70-79,70,Go Yo Han,3/10/1988,29,Normal,Korea Republic,FC Seoul,Midfielder,2020.0,RM,170 cm,65 kg,Right,3
70-79,70,Gabriele Perico,3/11/1984,33,Old,Italy,Salerno,Defender,2018.0,RB/CB,183 cm,75 kg,Right,3
70-79,70,Raffaele Bianco,8/25/1987,29,Normal,Italy,Carpi,Midfielder,2018.0,CM,180 cm,80 kg,Right,3
70-79,70,Jay Emmanuel-Thomas,12/27/1990,26,Normal,England,QPR,Attacker,2018.0,ST/CAM,191 cm,85 kg,Left,4
70-79,70,Funso Ojo,8/28/1991,25,Normal,Belgium,Willem II,Midfielder,2017.0,CM/CDM,178 cm,71 kg,Right,3
70-79,70,Nill De Pauw,1/6/1990,27,Normal,Belgium,EA Guingamp,Midfielder,2019.0,RM,180 cm,70 kg,Right,4
70-79,70,Licá,9/8/1988,28,Normal,Portugal,Estoril Praia,Attacker,2018.0,RW/LW,181 cm,70 kg,Right,3
70-79,70,Teddy Chevalier,6/28/1987,29,Normal,France,KV Kortrijk,Attacker,2019.0,ST/CAM,179 cm,78 kg,Right,4
70-79,70,Héctor Verdés,6/24/1984,32,Old,Spain,Real Oviedo,Defender,2017.0,CB,185 cm,80 kg,Right,3
70-79,70,Alexander Grünwald,5/1/1989,27,Normal,Austria,Austria Wien,Midfielder,2021.0,CAM/CM,188 cm,84 kg,Left,2
70-79,70,Robert Tesche,5/27/1987,29,Normal,Germany,Birmingham City,Midfielder,2019.0,CDM/CM,180 cm,71 kg,Right,4
70-79,70,Jens Grahl,9/22/1988,28,Normal,Germany,VfB Stuttgart,Goalkeeper,2018.0,GK,193 cm,93 kg,Right,2
70-79,70,David Pollet,8/12/1988,28,Normal,Belgium,Sp. Charleroi,Attacker,2018.0,ST,188 cm,81 kg,Right,4
70-79,70,Georges Mandjeck,12/9/1988,28,Normal,Cameroon,FC Metz,Midfielder,2019.0,CDM/CM,183 cm,75 kg,Right,3
70-79,70,Anthony Weber,6/11/1987,29,Normal,France,Stade de Reims,Defender,2017.0,CB,190 cm,82 kg,Right,3
70-79,70,Cris,1/17/1984,33,Old,Portugal,F. Santa Maria,Midfielder,2017.0,CM/CDM,179 cm,70 kg,Right,3
70-79,70,Shaleum Logan,1/29/1988,29,Normal,England,Aberdeen,Defender,2018.0,RB,175 cm,70 kg,Right,3
70-79,70,Oier,9/14/1989,27,Normal,Spain,Levante UD,Goalkeeper,2018.0,GK,189 cm,91 kg,Left,3
0-69,69,Wolfgang Hesl,1/13/1986,31,Normal,Germany,Arminia Bielefeld,Goalkeeper,2017.0,GK,186 cm,87 kg,Left,2
70-79,70,Sébastien Bruzzese,3/1/1989,28,Normal,Belgium,Sint-Truiden,Goalkeeper,2020.0,GK,185 cm,80 kg,Left,4
70-79,70,Thorsten Kirschbaum,4/20/1987,29,Normal,Germany,1. FC Nürnberg,Goalkeeper,2018.0,GK,194 cm,90 kg,Left,1
70-79,70,Daniel Gordon,1/16/1985,32,Old,Jamaica,SV Sandhausen,Defender,2018.0,CB,194 cm,82 kg,Right,4
70-79,70,Kermit Erasmus,7/8/1990,26,Normal,South Africa,RC Lens,Attacker,2018.0,ST/CAM,167 cm,63 kg,Right,3
70-79,70,Martin Männel,3/16/1988,29,Normal,Germany,Erzgebirge Aue,Goalkeeper,2019.0,GK,184 cm,81 kg,Right,3
70-79,70,Paulo,6/11/1989,27,Normal,Brazil,Seongnam FC,Midfielder,2020.0,ST,183 cm,70 kg,Right,2
70-79,70,Kosta Barbarouses,2/19/1990,27,Normal,New Zealand,Well. Phoenix,Attacker,2019.0,RW/ST,170 cm,70 kg,Right,3
70-79,70,Djamel Bakar,4/6/1989,27,Normal,Comoros,Sp. Charleroi,Midfielder,2017.0,CAM/ST,171 cm,69 kg,Right,3
70-79,70,François Bellugou,4/25/1987,29,Normal,France,FC Lorient,Midfielder,2018.0,CDM/CB,186 cm,75 kg,Right,3
70-79,70,Karim Aït-Fana,2/25/1989,28,Normal,Morocco,Nîmes Olympique,Midfielder,2017.0,CAM/LW,175 cm,70 kg,Right,4
70-79,70,Alex Wilkinson,8/13/1984,32,Old,Australia,Sydney FC,Defender,2018.0,CB,187 cm,85 kg,Right,3
70-79,70,Sotiris Ninis,4/3/1990,26,Normal,Greece,KV Mechelen,Midfielder,2019.0,CAM/CM,173 cm,68 kg,Right,3
70-79,70,Larrys Mabiala,10/8/1987,29,Normal,DR Congo,Kayserispor,Defender,2017.0,CB,189 cm,80 kg,Right,2
70-79,70,Jakob Johansson,6/21/1990,26,Normal,Sweden,Free Agents,Midfielder,2018.0,CM/CDM,187 cm,87 kg,Right,2
70-79,70,Tarek Elrich,1/1/1987,30,Normal,Australia,Adelaide United,Defender,2018.0,RB/LB,175 cm,75 kg,Right,4
70-79,70,Dinei,11/11/1983,33,Old,Brazil,Shonan Bellmare,Attacker,2020.0,ST,186 cm,76 kg,Right,3
70-79,70,Tobias Levels,11/22/1986,30,Normal,Germany,FC Ingolstadt,Defender,2018.0,RB/CB,185 cm,80 kg,Right,3
70-79,70,William,11/20/1986,30,Normal,Brazil,América,Midfielder,2020.0,CM/LM,175 cm,72 kg,Left,3
70-79,70,Jermaine Beckford,12/9/1983,33,Old,Jamaica,Preston,Attacker,2017.0,ST,188 cm,83 kg,Right,4
70-79,70,Happy Jele,1/1/1987,30,Normal,South Africa,Orlando Pirates,Defender,2018.0,RB,181 cm,70 kg,Right,3
70-79,70,Brecht Capon,4/22/1988,28,Normal,Belgium,KV Oostende,Defender,2019.0,RB,180 cm,72 kg,Right,3
70-79,70,Robbie Rogers,5/12/1987,29,Normal,United States,LA Galaxy,Defender,2020.0,RB/LB,178 cm,69 kg,Right,5
70-79,70,Adel Taarabt,5/24/1989,27,Normal,Morocco,Genoa,Midfielder,2020.0,LM/CAM,180 cm,78 kg,Right,4
70-79,70,Nuno André Coelho,1/7/1986,31,Old,Portugal,Chaves,Defender,2017.0,CB/CDM,192 cm,82 kg,Right,3
70-79,70,Robert Acquafresca,9/11/1987,29,Normal,Italy,Terni,Attacker,2017.0,ST,184 cm,77 kg,Right,4
70-79,70,Luigi Vitale,10/5/1987,29,Normal,Italy,Salerno,Defender,2019.0,LB/LM,180 cm,71 kg,Left,2
70-79,70,Tamás Priskin,9/27/1986,30,Normal,Hungary,Free Agents,Attacker,2018.0,ST,189 cm,82 kg,Right,3
0-69,69,Yoni Buyens,3/10/1988,29,Normal,Belgium,KVC Westerlo,Midfielder,2018.0,CM/CDM,184 cm,80 kg,Right,3
70-79,70,Karim Matmour,6/25/1985,31,Old,Algeria,1860 München,Midfielder,2018.0,RM/CAM,181 cm,75 kg,Right,3
70-79,70,Gabriel Obertan,2/26/1989,28,Normal,France,Wigan Athletic,Attacker,2017.0,RM/LM,186 cm,83 kg,Right,3
70-79,70,Pär Hansson,6/22/1986,30,Normal,Sweden,Feyenoord,Goalkeeper,2017.0,GK,185 cm,80 kg,Right,2
70-79,70,Łukasz Broź,12/17/1985,31,Old,Poland,Legia Warszawa,Defender,2018.0,RB,177 cm,74 kg,Right,3
70-79,70,Bellvis,4/24/1985,31,Old,Spain,AD Alcorcón,Defender,2018.0,LB/RB,170 cm,65 kg,Left,2
70-79,70,Julian Schuster,4/15/1985,31,Old,Germany,SC Freiburg,Midfielder,2017.0,CDM/CM,189 cm,80 kg,Right,3
70-79,70,Stephan Fürstner,9/11/1987,29,Normal,Germany,Union Berlin,Midfielder,2017.0,CDM/CM,178 cm,72 kg,Right,4
70-79,70,Dimitar Rangelov,2/9/1983,34,Old,Bulgaria,Konyaspor,Attacker,2017.0,ST,183 cm,80 kg,Right,2
70-79,70,Adam Bodzek,9/7/1985,31,Old,Poland,F. Düsseldorf,Midfielder,2018.0,CDM/CB,184 cm,80 kg,Right,3
70-79,70,Robert Strauß,10/7/1986,30,Normal,Germany,1. FC Heidenheim,Defender,2018.0,RB,175 cm,70 kg,Right,3
70-79,70,Antony Robic,3/5/1986,31,Old,France,AS Nancy,Attacker,2017.0,RW/RM,181 cm,77 kg,Right,2
70-79,70,Adam Rooney,4/21/1988,28,Normal,Republic of Ireland,Aberdeen,Attacker,2020.0,ST,178 cm,78 kg,Right,3
70-79,70,Luis Pedro Figueroa,5/14/1983,33,Old,Chile,Colo-Colo,Midfielder,2017.0,RM/RW,179 cm,77 kg,Right,2
70-79,70,Marcus Pedersen,6/8/1990,26,Normal,Norway,Strømsgodset IF,Attacker,2019.0,ST,180 cm,80 kg,Right,3
70-79,70,Edwin Valencia,3/29/1985,32,Old,Colombia,Atl. Nacional,Midfielder,2020.0,CDM,185 cm,82 kg,Right,3
70-79,70,Jorge Bava,8/2/1981,35,Old,Uruguay,Chicago Fire,Goalkeeper,2020.0,GK,193 cm,85 kg,Right,1
70-79,70,Filipe Gonçalves,8/12/1984,32,Old,Portugal,Nacional,Midfielder,2018.0,CDM/CM,185 cm,79 kg,Right,3
70-79,70,Pablo Escobar,2/23/1979,38,Old,Bolivia,Free Agents,Midfielder,2020.0,CAM/RW,178 cm,70 kg,Left,2
70-79,70,Jung Sung Ryong,1/4/1985,32,Old,Korea Republic,Kawasaki Front.,Goalkeeper,2018.0,GK,191 cm,90 kg,Right,3
70-79,70,Tomané,10/23/1992,24,Youngster,Portugal,Arouca,Attacker,2019.0,ST,184 cm,84 kg,Right,3
70-79,70,Tom De Sutter,7/3/1985,31,Old,Belgium,Sport. Lokeren,Attacker,2019.0,ST,192 cm,92 kg,Right,4
70-79,70,Filip Hološko,1/17/1984,33,Old,Slovakia,Sydney FC,Midfielder,2017.0,RM,185 cm,85 kg,Right,4
70-79,70,Didier Ovono Ebang,1/23/1983,34,Old,Gabon,KV Oostende,Goalkeeper,2017.0,GK,186 cm,86 kg,Right,3
70-79,70,Sam Baldock,3/15/1989,28,Normal,England,Brighton,Attacker,2018.0,ST/CF,170 cm,67 kg,Right,3
70-79,70,Rhys Williams,7/14/1988,28,Normal,Australia,Perth Glory,Defender,2017.0,CB/RB,187 cm,72 kg,Right,3
70-79,70,Stephen Quinn,4/1/1986,30,Normal,Republic of Ireland,Reading,Midfielder,2018.0,CM/LM,168 cm,60 kg,Left,2
70-79,70,Jason Pearce,12/6/1987,29,Normal,England,Charlton Ath,Defender,2019.0,CB,185 cm,71 kg,Left,3
70-79,70,Tom Clarke,12/21/1987,29,Normal,England,Preston,Defender,2019.0,CB/RB,180 cm,77 kg,Right,3
70-79,70,Giles Barnes,8/5/1988,28,Normal,Jamaica,Orlando City,Midfielder,2023.0,LM/CAM,188 cm,86 kg,Right,4
70-79,70,Marco Knaller,3/26/1987,30,Normal,Austria,SV Sandhausen,Goalkeeper,2018.0,GK,192 cm,85 kg,Right,3
70-79,71,Máyor,1/23/1984,33,Old,Spain,CF Reus Deportiu,Attacker,2017.0,ST/CAM,186 cm,78 kg,Right,3
70-79,70,Manolo Reina,4/1/1985,31,Normal,Spain,Gimnàstic,Goalkeeper,2018.0,GK,185 cm,80 kg,Right,3
70-79,70,Esteban Dreer,11/11/1981,35,Old,Ecuador,Free Agents,Goalkeeper,2023.0,GK,185 cm,79 kg,Right,3
70-79,70,Mahamadou N'Diaye,6/21/1990,26,Normal,Mali,ES Troyes AC,Defender,2017.0,CB,186 cm,76 kg,Left,2
70-79,70,Lewis Grabban,1/12/1988,29,Normal,England,Reading,Attacker,2019.0,ST,183 cm,78 kg,Right,3
70-79,70,Brett Pitman,1/31/1988,29,Normal,England,Ipswich,Attacker,2018.0,ST/CF,183 cm,70 kg,Right,4
70-79,70,Claudio Bieler,3/1/1984,33,Old,Argentina,Belgrano,Attacker,2019.0,ST,180 cm,70 kg,Right,3
70-79,70,Baptiste Martin,5/14/1985,31,Old,France,Clermont Foot,Defender,2017.0,CB/RB,186 cm,81 kg,Right,3
70-79,70,Jonathan Pereira,5/12/1987,29,Normal,Spain,Real Oviedo,Attacker,2017.0,ST/CAM,167 cm,61 kg,Right,3
70-79,70,David Fuster,2/3/1982,35,Old,Spain,Getafe CF,Midfielder,2017.0,CAM/CDM/LM,178 cm,71 kg,Right,5
70-79,70,Juan Carlos,7/27/1987,29,Normal,Spain,Real Oviedo,Goalkeeper,2018.0,GK,182 cm,76 kg,Right,3
70-79,70,Edgar Castillo,10/8/1986,30,Normal,United States,Monterrey,Defender,2019.0,LB/LWB,168 cm,60 kg,Left,3
0-69,69,Nicola Belmonte,4/15/1987,29,Normal,Italy,Perugia,Defender,2018.0,CB/RB,183 cm,74 kg,Right,2
70-79,70,Francis N'Ganga,6/16/1985,31,Old,Congo,Sp. Charleroi,Defender,2017.0,LB,176 cm,73 kg,Left,2
70-79,70,Yann Kermorgant,11/8/1981,35,Old,France,Reading,Attacker,2018.0,ST,184 cm,84 kg,Right,3
70-79,70,Scott Golbourne,2/29/1988,29,Normal,England,Bristol City,Defender,2018.0,LB,175 cm,77 kg,Left,3
70-79,70,Stephen Gleeson,8/3/1988,28,Normal,Republic of Ireland,Birmingham City,Midfielder,2018.0,CDM/CM,178 cm,80 kg,Right,3
70-79,70,Ben Turner,8/21/1988,28,Normal,England,Burton Albion,Defender,2017.0,CB,193 cm,91 kg,Left,3
70-79,70,Jacques Maghoma,10/23/1987,29,Normal,DR Congo,Birmingham City,Midfielder,2018.0,LM/RM,178 cm,73 kg,Right,3
70-79,70,Jonathan Grounds,2/27/1988,29,Normal,England,Birmingham City,Defender,2017.0,LB,185 cm,87 kg,Left,3
70-79,70,Lee Peltier,12/11/1986,30,Normal,England,Cardiff City,Defender,2018.0,RB,177 cm,73 kg,Right,2
70-79,70,Joe Garner,4/12/1988,28,Normal,England,Rangers,Attacker,2019.0,ST,178 cm,73 kg,Right,3
70-79,70,Armand Traoré,10/8/1989,27,Normal,Senegal,Nott'm Forest,Defender,2019.0,LB,183 cm,82 kg,Left,2
70-79,70,Luke Freeman,3/22/1992,25,Normal,England,QPR,Midfielder,2020.0,RM/LM,172 cm,73 kg,Left,3
70-79,70,Edgar Manucharyan,1/19/1987,30,Normal,Armenia,FC Ural,Midfielder,2017.0,RM/ST,177 cm,72 kg,Left,3
70-79,70,Hedwiges Maduro,2/13/1985,32,Old,Netherlands,FC Groningen,Defender,2017.0,CB/CDM,188 cm,84 kg,Right,3
70-79,70,Damien Perrinelle,9/12/1983,33,Old,France,NY Red Bulls,Defender,2023.0,CB,187 cm,78 kg,Right,3
70-79,70,Vladimir Stojković,7/28/1983,33,Old,Serbia,Nott'm Forest,Goalkeeper,2018.0,GK,196 cm,94 kg,Right,3
70-79,70,Pedro Júnior,1/29/1987,30,Normal,Brazil,Kashima Antlers,Attacker,2023.0,ST/RW,182 cm,75 kg,Right,3
70-79,70,Matthew Connolly,9/24/1987,29,Normal,England,Cardiff City,Defender,2019.0,CB,188 cm,84 kg,Right,3
70-79,70,Alexandr Ryazantsev,9/5/1986,30,Normal,Russia,Zenit,Midfielder,2018.0,RM/CAM,176 cm,70 kg,Right,4
70-79,70,Ivan Taranov,6/22/1986,30,Normal,Russia,Krylya Sovetov,Defender,2017.0,CB,185 cm,80 kg,Right,3
70-79,70,Adrián Aldrete,6/14/1988,28,Normal,Mexico,Cruz Azul,Defender,2023.0,LB,177 cm,75 kg,Left,3
70-79,70,Simon Vukčević,1/29/1986,31,Old,Montenegro,Chaves,Attacker,2017.0,RW/LW,180 cm,78 kg,Left,3
70-79,70,Yang Dong Hyen,3/28/1986,31,Old,Korea Republic,Pohang Steelers,Attacker,2017.0,ST,186 cm,80 kg,Right,4
70-79,70,Rafał Murawski,10/9/1981,35,Old,Poland,Pogoń Szczecin,Midfielder,2017.0,CDM/CAM,175 cm,75 kg,Right,3
70-79,70,Didier Digard,7/12/1986,30,Normal,France,CA Osasuna,Midfielder,2018.0,CDM/CB,183 cm,76 kg,Right,3
70-79,70,Cédric Cambon,9/20/1986,30,Normal,France,Le Havre AC,Defender,2018.0,CB/CDM,184 cm,76 kg,Right,3
70-79,70,Florian Marange,3/3/1986,31,Old,France,SC Bastia,Defender,2017.0,CB/LB,181 cm,78 kg,Left,2
70-79,70,Jack Hobbs,8/18/1988,28,Normal,England,Nott'm Forest,Defender,2018.0,CB,190 cm,85 kg,Right,2
70-79,70,Sebastian Freis,4/23/1985,31,Old,Germany,Greuther Fürth,Midfielder,2017.0,LM/ST,183 cm,78 kg,Right,3
70-79,70,Thomas Kristensen,4/17/1983,33,Old,Denmark,Brisbane Roar,Midfielder,2019.0,CDM/CM,188 cm,79 kg,Right,3
70-79,70,Will Johnson,1/21/1987,30,Normal,Canada,Orlando City,Defender,2023.0,CDM/CM,178 cm,72 kg,Right,4
70-79,70,Andrea Coda,4/25/1985,31,Old,Italy,Pescara,Defender,2017.0,CB,190 cm,86 kg,Right,3
70-79,70,Nereo Champagne,1/20/1985,32,Old,Argentina,CD Leganés,Goalkeeper,2017.0,GK,190 cm,88 kg,Right,3
0-69,69,Emiliano Armenteros,1/18/1986,31,Old,Argentina,Santos Laguna,Midfielder,2018.0,CM/LM,180 cm,78 kg,Left,3
70-79,70,Jonathan Spector,1/3/1986,31,Old,United States,Orlando City,Defender,2022.0,CB/RB,181 cm,80 kg,Right,4
70-79,70,Kazuhiko Chiba,6/21/1985,31,Old,Japan,Sanfrecce Hiroshima,Defender,2017.0,CB,183 cm,77 kg,Right,4
70-79,70,Ghislain Gimbert,8/7/1985,31,Old,France,Le Havre AC,Attacker,2017.0,ST/LM,183 cm,80 kg,Right,4
70-79,70,Emmanuel Culio,8/30/1983,33,Old,Argentina,RCD Mallorca,Midfielder,2017.0,CM/LM/CDM,176 cm,75 kg,Left,4
70-79,70,Marco Zambelli,8/22/1985,31,Old,Italy,Empoli,Defender,2017.0,RB,182 cm,77 kg,Right,3
70-79,70,Gerardo Rodríguez,4/16/1985,31,Old,Mexico,Monarcas Morelia,Defender,2022.0,LB,182 cm,75 kg,Left,3
70-79,70,Philipp Tschauner,11/3/1985,31,Normal,Germany,Hannover 96,Goalkeeper,2020.0,GK,196 cm,93 kg,Right,3
70-79,70,William Kvist,2/24/1985,32,Old,Denmark,FC København,Midfielder,2019.0,CM/CDM,184 cm,80 kg,Right,3
70-79,70,Markus Steinhöfer,3/7/1986,31,Old,Germany,SV Darmstadt,Defender,2018.0,RB/RM,175 cm,69 kg,Right,3
70-79,70,Efraín Velarde,4/18/1986,30,Normal,Mexico,Toluca,Defender,2022.0,LB,174 cm,70 kg,Left,2
70-79,70,Christian Giménez,2/1/1981,36,Old,Mexico,Cruz Azul,Midfielder,2022.0,CAM/LW,170 cm,75 kg,Right,4
70-79,70,Rasmus Lindgren,11/29/1984,32,Old,Sweden,BK Häcken,Defender,2019.0,CB,181 cm,75 kg,Right,4
70-79,70,Marcos González,7/9/1980,36,Old,Chile,Necaxa,Defender,2022.0,CB,190 cm,89 kg,Right,3
70-79,70,Antonio Nocerino,4/9/1985,31,Old,Italy,Orlando City,Midfielder,2022.0,CDM/CM,175 cm,75 kg,Right,3
70-79,70,Edson Braafheid,4/8/1983,33,Old,Netherlands,FC Utrecht,Defender,2017.0,LB,180 cm,76 kg,Left,3
70-79,72,Yuki Abe,9/6/1981,35,Old,Japan,Urawa Diamonds,Midfielder,2022.0,CDM/CAM,178 cm,77 kg,Right,3
70-79,70,Francisco Rodríguez,10/20/1981,35,Old,Mexico,Cruz Azul,Defender,2017.0,CB,191 cm,90 kg,Right,3
70-79,70,Matthew Mills,7/14/1986,30,Normal,England,Nott'm Forest,Defender,2018.0,CB,191 cm,82 kg,Right,3
70-79,70,Stephen Henderson,5/2/1988,28,Normal,Republic of Ireland,Nott'm Forest,Goalkeeper,2019.0,GK,193 cm,87 kg,Right,3
70-79,70,Carl Ikeme,6/8/1986,30,Normal,Nigeria,Wolves,Goalkeeper,2019.0,GK,191 cm,100 kg,Right,3
70-79,70,Vincent Gragnic,6/23/1983,33,Old,France,RC Strasbourg,Midfielder,2017.0,CAM,184 cm,80 kg,Right,4
70-79,70,Chris Cohen,3/5/1987,30,Normal,England,Nott'm Forest,Midfielder,2017.0,CM/LB,177 cm,69 kg,Left,2
70-79,70,Ricardo Vaz Tê,10/1/1986,30,Normal,Portugal,Akhisarspor,Midfielder,2017.0,RM/LM,189 cm,80 kg,Right,3
70-79,70,Jone Samuelsen,7/6/1984,32,Old,Norway,Odds BK,Midfielder,2019.0,CM,172 cm,70 kg,Right,3
70-79,70,Domi Kumbela,4/20/1984,32,Old,DR Congo,Braunschweig,Attacker,2017.0,ST,173 cm,71 kg,Right,3
0-69,69,Antonio Rosati,6/26/1983,33,Old,Italy,Perugia,Goalkeeper,2018.0,GK,195 cm,81 kg,Right,1
70-79,70,Marcin Wasilewski,6/9/1980,36,Old,Poland,Leicester City,Defender,2017.0,CB,186 cm,88 kg,Right,3
70-79,70,Arkadiusz Malarz,6/19/1980,36,Old,Poland,Legia Warszawa,Goalkeeper,2018.0,GK,189 cm,86 kg,Right,3
70-79,70,Cosmin Moţi,12/3/1984,32,Old,Romania,Free Agents,Defender,2021.0,CB/RB,183 cm,78 kg,Right,3
70-79,70,Dmitriy Loskov,2/12/1974,43,Old,Russia,Lokomotiv Moscow,Midfielder,2017.0,CM/CAM,178 cm,81 kg,Right,4
70-79,70,Vesga,5/21/1993,23,Youngster,Spain,Sporting Gijón,Midfielder,2019.0,CDM/CM,191 cm,86 kg,Left,3
70-79,70,Dani Giménez,7/30/1983,33,Old,Spain,Real Betis,Goalkeeper,2018.0,GK,182 cm,77 kg,Right,2
70-79,70,Lopez Garai,11/6/1980,36,Old,Spain,CF Reus Deportiu,Midfielder,2017.0,CDM/CM,183 cm,82 kg,Right,3
70-79,70,Pedro Ríos,12/12/1981,35,Old,Spain,Córdoba CF,Midfielder,2017.0,RM/LM,175 cm,74 kg,Right,3
70-79,70,Mora,8/30/1979,37,Old,Spain,Getafe CF,Midfielder,2017.0,CDM/CM,182 cm,77 kg,Right,3
70-79,70,Ahmet Şahin,3/22/1978,39,Old,Turkey,Karabükspor,Goalkeeper,2018.0,GK,190 cm,82 kg,Right,3
70-79,70,Christian Schwegler,6/6/1984,32,Old,Switzerland,RB Salzburg,Defender,2017.0,RB,177 cm,73 kg,Right,3
70-79,70,Gustavo Lorenzetti,5/10/1985,31,Old,Chile,Uni. de Chile,Midfielder,2017.0,CAM/CM,163 cm,63 kg,Left,2
70-79,70,Carlos Araujo,11/19/1981,35,Old,Argentina,Parque Patricios,Defender,2017.0,RB,172 cm,69 kg,Right,3
70-79,70,Johnny Thomsen,2/26/1982,35,Old,Denmark,Randers FC,Defender,2018.0,RB,180 cm,74 kg,Right,4
70-79,70,Blagoy Georgiev,12/21/1981,35,Old,Bulgaria,FC Orenburg,Midfielder,2017.0,CDM/CM,185 cm,84 kg,Right,3
70-79,70,Michael Kightly,1/24/1986,31,Old,England,Burton Albion,Midfielder,2017.0,LM/RM,173 cm,71 kg,Right,3
70-79,70,Jake Buxton,3/4/1985,32,Old,England,Wigan Athletic,Defender,2019.0,CB,180 cm,83 kg,Right,3
70-79,70,Moreno,8/19/1981,35,Old,Portugal,V. Guimarães,Defender,2017.0,CB,188 cm,83 kg,Right,3
